linea;nodo_1;nodo_2;distancia;descripcion;tipodia;hora_desde;hora_hasta;tr_optimo;tr_minimo;tr_maximo;trayecto;sentido;secuencia;tipo_arco;
18;Portal 80 T-4;Héroes C - 4;7825;B55 HEROES;Habil;20:30:00;30:00:00;00:20:15;00:18:45;00:21:45;1377;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;01:00:00;05:30:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;05:30:00;06:30:00;00:32:30;00:31:00;00:34:15;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;06:30:00;08:00:00;00:33:15;00:31:30;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;08:00:00;09:00:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;09:00:00;16:00:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;16:00:00;17:00:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;17:00:00;18:30:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;18:30:00;19:30:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;19:30:00;20:30:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
19;Portal Suba T8;Héroes B - 4 ó 6;12113;B56 HEROES;Habil;20:30:00;30:00:00;00:33:00;00:28:00;00:34:45;1361;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;01:00:00;05:30:00;00:08:57;00:08:33;00:09:15;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;05:30:00;06:30:00;00:08:23;00:08:08;00:08:33;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;06:30:00;08:00:00;00:09:22;00:09:04;00:09:36;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;08:00:00;09:00:00;00:09:51;00:09:28;00:10:10;1523;1;1;1;
27;Banderas T1;Marsella B - 2 ó 5;2601;C19 P. Suba;Habil;09:00:00;16:00:00;00:10:27;00:10:02;00:10:44;1523;1;1;1;
